gene	repaired_reporting_group	included_in_main_figure	reason_for_inclusion	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary	notes
STAB1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=53	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
AQP1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=55	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ZCRB1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=56	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NEK4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=57	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NT5DC2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=59	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
AIF1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=60	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ITIH1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=62	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
UQCC5	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=63	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GNL3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=64	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ATG16L1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=65	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CPNE8	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=67	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HLA-DQA2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=69	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LOC101927855	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=70	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PKN1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=71	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DNAJB11	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=72	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TBCCD1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=73	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BAG6	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=75	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HLA-DQB2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=77	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LAYN	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=78	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
VPS13B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=79	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
F12	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=80	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ATP6V1G2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=81	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PRRC2A	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=83	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LOC101929578	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=84	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SNX17	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=85	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TNXB	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=87	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RFTN2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=88	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ACP4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=94	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TNFAIP8L3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=96	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
STAP2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=97	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC17A3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=98	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ITIH3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=99	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PPP2R1B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=101	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CHST6	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=103	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TFAP2D	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=104	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ALAS1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=106	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CRYGS	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=108	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MIPOL1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=111	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TLR9	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=112	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
WNT3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=113	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CYP24A1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=115	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ARL17B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=116	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NSF	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=119	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CREBRF	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=120	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ATF6B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=121	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KLK1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=122	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HS6ST3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=123	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SFTA2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=124	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NDUFAB1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=127	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NFKBIL1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=128	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LIME1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=130	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GXYLT1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=131	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC41A1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=135	no_context_support	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
INPPL1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=136	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SF3B1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=137	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SIK2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=139	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NUSAP1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=140	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HSPE1-MOB4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=141	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
WNT5A	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=142	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FTO	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=143	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NOTCH4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=144	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRIM31	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=146	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FOLR2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=147	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RTF1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=148	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRIM64C	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=150	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MOB4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=151	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NDUFAF1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=153	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SCGN	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=155	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SNRPD2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=156	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CSNK2B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=157	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GATA3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=158	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MPIG6B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=159	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HERPUD1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=160	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
EPRS1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=163	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KMT5A	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=164	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PM20D1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=169	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ARFRP1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=170	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PPP1R9B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=173	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
F11R	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=175	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KLK3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=176	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TNFRSF6B	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=178	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC14A2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=181	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HOATZ	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=182	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
NKAPD1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=183	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MUCL3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=184	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ABCG2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=185	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CHADL	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=186	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FKBPL	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=188	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SYT14	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=189	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SUN2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=190	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ZGPAT	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=193	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MED13	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=197	partial_context_support	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BOLL	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=198	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CDK18	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=199	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
L3MBTL2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=200	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SDHD	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=210	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HLA-DOB	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=243	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ADD3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=247	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LUZP1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=249	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DDAH2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=266	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DHX16	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=278	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ARPC2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=280	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GIPC1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=283	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ANKRD6	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=284	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HLF	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=318	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
