gene	magma_rank	magma_p	magma_fdr	magma_status	in_MAGMA_top50	in_MAGMA_top100	in_MAGMA_Bonferroni	in_MAGMA_FDR05	in_MAGMA_suggestive	snRNA_support_status	snRNA_support_basis	twas_fdr_supported	twas_model_type	twas_p	twas_fdr	twas_proxy_status	spatial_status	bulk_status_if_available	existing_group	repaired_reporting_group	group_change	allowed_interpretation	not_allowed_interpretation	notes
BCR	114	7.7383e-06	0.00117540704210526	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
QPCTL	117	8.55e-06	0.0012654	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CHP1	125	1.5528e-05	0.002151062784	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RSPH14	126	1.5739e-05	0.00216298828571429	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.220199994283217	0.751678762366733	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
MED20	129	1.7284e-05	0.00232007553488372	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CARMIL1	132	2.1155e-05	0.00277515136363636	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RRAGD	133	2.2188e-05	0.0028887775037594	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TRIM26	138	2.5454e-05	0.00319392365217391	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SLC2A4RG	145	3.0849e-05	0.00367300824657534	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.0728600024585988	0.579285592880833	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
FBXO46	149	3.3449e-05	0.00388726767785235	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
OIP5	152	3.5463e-05	0.00403998228947368	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
AMPD3	154	3.9825e-05	0.00447798506493506	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RAP1GAP	161	4.9329e-05	0.00530547182608696	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
AOPEP	162	5.1742e-05	0.00553064488888889	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TFEB	165	5.5951e-05	0.00583818790419162	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PDE8A	166	5.6192e-05	0.00583818790419162	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.353400008523724	0.832330743012578	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
INO80	167	5.6305e-05	0.00583818790419162	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
ACP1	168	5.7945e-05	0.005942052	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.0207099949078803	0.368541720849828	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CRAT	171	6.2045e-05	0.006264063	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.000940899708248191	0.0728647397439476	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
BCAS3	172	6.2221e-05	0.006264063	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
BABAM2	174	6.4499e-05	0.00641876255172414	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
DDR1	177	6.6653e-05	0.00652069688135593	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
FN3K	179	7.1151e-05	0.00688296489385475	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
INTS2	180	7.837e-05	0.007539194	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TRPM7	187	9.9562e-05	0.00921155936170213	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TMEM171	191	0.00010545	0.00956006387434555	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
ADK	192	0.00010807	0.009746563125	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
USP50	194	0.00011215	0.0100102546391753	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RTEL1	195	0.00011512	0.010222656	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.621500005654607	0.920360034614235	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
FAM227A	196	0.00012454	0.011002727755102	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.429899998491761	0.863282031196997	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
ALG12	201	0.0001371	0.0118110626865672	fdr05	FALSE	FALSE	FALSE	TRUE	FALSE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
MED1	32	5.9689e-09	3.2299210125e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	TRUE	multi_snp_proxy	9.65585605334163e-08	8.22540994943945e-05	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R2	Tier2_moderate_MAGMA_scRNA_to_R2	Context-mapped MAGMA-priority candidate with stronger Kidney_Cortex TWAS proxy annotation.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PPHLN1	118	8.986e-06	0.00131865742372881	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	TRUE	one_snp_proxy	0.000188000010954454	0.0302984882519299	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R3	Tier2_moderate_MAGMA_scRNA_to_R3	Context-mapped MAGMA-priority candidate with weak one-SNP TWAS proxy annotation.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
FNIP2	134	2.3114e-05	0.0029868807761194	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	TRUE	one_snp_proxy	0.00020259993651826	0.0308137941214359	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R3	Tier2_moderate_MAGMA_scRNA_to_R3	Context-mapped MAGMA-priority candidate with weak one-SNP TWAS proxy annotation.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TBX2	1	6.2728e-15	7.25730876e-11	top50	TRUE	TRUE	TRUE	TRUE	TRUE	no_context_support	Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.448	TRUE	one_snp_proxy	3.45799993037505e-07	0.000206200535848264	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier3_context	R4	Tier3_context_to_R4	Genetic-priority candidate requiring additional context follow-up.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
LMAN2	2	8.3822e-15	7.25730876e-11	top50	TRUE	TRUE	TRUE	TRUE	TRUE	no_context_support	Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier3_context	R4	Tier3_context_to_R4	Genetic-priority candidate requiring additional context follow-up.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PTGER1	3	2.2871e-14	1.32011412e-10	top50	TRUE	TRUE	TRUE	TRUE	TRUE	partial_context_support	Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	TRUE	one_snp_proxy	4.94899001527058e-19	1.47554137305292e-15	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier3_context	R4	Tier3_context_to_R4	Genetic-priority candidate requiring additional context follow-up.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
DGKD	4	4.7129e-14	2.04021441e-10	top50	TRUE	TRUE	TRUE	TRUE	TRUE	no_context_support	Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier3_context	R4	Tier3_context_to_R4	Genetic-priority candidate requiring additional context follow-up.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
