gene	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	nearest_locus_distance	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	current_exemplar_gene	known_kidney_transport_or_calcium_gene	ready_for_tier_assignment	notes
SIK2	MAGMA;TWAS_FDR	139	2.6619e-05	0.00330005854285714	no	NA_not_found	NA_not_found	NA_not_found	0.00570128866181641	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SLC12A3	MAGMA	93	2.2124e-06	0.000411934606451613	yes	KSD_L021	rs9925265	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SLC30A10	MAGMA	16	6.7666e-12	7.32315285e-09	yes	KSD_L005	rs10863512	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SLC34A1	MAGMA	24	5e-10	3.4632e-07	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SLC41A1	MAGMA;TWAS_FDR	135	2.3492e-05	0.00301324053333333	no	NA_not_found	NA_not_found	NA_not_found	0.00627502764160785	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SLC4A1AP	MAGMA;coloc_resource_row	28	1.485e-09	9.18366428571429e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SNX17	MAGMA	85	1.3535e-06	0.000275731835294118	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SPATA31H1	MAGMA	14	5.726e-12	7.02614016e-09	yes	KSD_L030;KSD_L031;KSD_L032;KSD_L033		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SPCS1	MAGMA	47	4.578e-08	1.68265579591837e-05	yes	KSD_L038	rs731831	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SPI1	MAGMA;TWAS_FDR	1581	0.028274	0.309576826279217	no	NA_not_found	NA_not_found	NA_not_found	0.0335453289195154	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SPPL2C	MAGMA	51	6.0603e-08	2.05765009411765e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
STAB1	MAGMA	53	7.5622e-08	2.47069915471698e-05	yes	NA_not_found	NA_not_found	NA_not_found	0.886221569728715	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
STH	MAGMA	45	3.789e-08	1.4580072e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
STMN3	MAGMA;TWAS_FDR	1304	0.019503	0.258983088957055	no	NA_not_found	NA_not_found	NA_not_found	0.0308137941214359	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SYT14	MAGMA;TWAS_FDR	189	0.00010146	0.00929566857142857	no	NA_not_found	NA_not_found	NA_not_found	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TBCCD1	MAGMA	73	4.9137e-07	0.000116555656438356	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TBX2	MAGMA;TWAS_FDR	1	6.2728e-15	7.25730876e-11	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	0.000206200535848264	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TFAP2B	MAGMA;coloc_resource_row	8	6.8295e-13	1.34145128e-09	yes	KSD_L051	rs62405422	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TIMM8B	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	NA_not_found	0.0253953651138083	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TMBIM1	MAGMA;TWAS_FDR	410	0.0013633	0.057470627184466	no	NA_not_found	NA_not_found	NA_not_found	0.0295940769417183	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TMC4	MAGMA;TWAS_FDR	584	0.0035741	0.105974513013699	no	NA_not_found	NA_not_found	NA_not_found	0.0485692005624065	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TMEM170A	MAGMA	76	7.387e-07	0.000168306963157895	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TNXB	MAGMA;TWAS_FDR	87	1.6356e-06	0.0003255408	yes	NA_not_found	NA_not_found	NA_not_found	0.0253953651138083	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TRIOBP	MAGMA;TWAS_FDR	38	1.2991e-08	5.91979357894737e-06	yes	KSD_L037	rs6000890	NA_not_found	0.000500433504717289	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
TRPV6	MAGMA;TWAS_FDR	504	0.0024792	0.0851782285714286	no	NA_not_found	NA_not_found	NA_not_found	0.0322515790633361	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
UGT8	MAGMA;coloc_resource_row	9	6.9722e-13	1.34145128e-09	yes	KSD_L040;KSD_L041;KSD_L042;KSD_L043		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
UMOD	current_curated_exemplar;MAGMA;coloc_resource_row	21	1.7321e-10	1.42824017142857e-07	yes	KSD_L018	rs77924615	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
UQCC5	MAGMA	63	1.5603e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
USP40	MAGMA;TWAS_FDR	320	0.00073754	0.03991013325	no	NA_not_found	NA_not_found	NA_not_found	0.00360202088408115	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
VPS13B	MAGMA	79	9.8176e-07	0.000215191850126582	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
WDR72	MAGMA	86	1.5509e-06	0.000312271911627907	yes	KSD_L015	rs2459379	NA_not_found	0.674606958200653	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
YAF2	MAGMA	42	2.6309e-08	1.08468248571429e-05	yes	KSD_L011	rs7974476	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ZCRB1	MAGMA;TWAS_FDR	56	1.0601e-07	3.27798064285714e-05	yes	NA_not_found	NA_not_found	NA_not_found	4.04292012350524e-07	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ZFPM1	MAGMA	27	1.0439e-09	6.69487866666667e-07	yes	KSD_L022	rs4782366	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ZNF468	MAGMA;TWAS_FDR	1934	0.039837	0.356471683884298	no	NA_not_found	NA_not_found	NA_not_found	0.00606139258919571	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ZNF512	MAGMA	20	1.2108e-10	1.04831064e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
